,realtime_start,date,gdp_value
494,2017-10-27,1959-07-01,525.196
495,2018-07-27,1959-07-01,525.034
496,1991-12-04,1959-10-01,500.5
497,1996-01-19,1959-10-01,513.8
499,1999-10-29,1959-10-01,514.2
500,2003-12-10,1959-10-01,513.2
501,2013-07-31,1959-10-01,529.3
502,2017-10-27,1959-10-01,529.322
503,2018-07-27,1959-10-01,528.6
504,1991-12-04,1960-01-01,514.0
505,1996-01-19,1960-01-01,527.3
507,1999-10-29,1960-01-01,527.9
508,2003-12-10,1960-01-01,526.9
509,2009-07-31,1960-01-01,527.0
510,2013-07-31,1960-01-01,543.3
511,2017-10-27,1960-01-01,543.347
512,2018-07-27,1960-01-01,542.648
513,1991-12-04,1960-04-01,512.9
514,1996-01-19,1960-04-01,526.1
516,1999-10-29,1960-04-01,527.1
517,2003-12-10,1960-04-01,526.1
518,2009-07-31,1960-04-01,526.2
519,2013-07-31,1960-04-01,542.7
520,2017-10-27,1960-04-01,542.697
521,2018-07-27,1960-04-01,541.08
522,1991-12-04,1960-07-01,515.8
523,1996-01-19,1960-07-01,529.0
525,1999-10-29,1960-07-01,529.9
526,2003-12-10,1960-07-01,528.9
527,2009-07-31,1960-07-01,529.0
528,2013-07-31,1960-07-01,546.0
529,2017-10-27,1960-07-01,546.012
530,2018-07-27,1960-07-01,545.604
531,1991-12-04,1960-10-01,510.8
532,1996-01-19,1960-10-01,523.9
534,1999-10-29,1960-10-01,524.6
535,2003-12-10,1960-10-01,523.6
536,2009-07-31,1960-10-01,523.7
537,2013-07-31,1960-10-01,541.1
538,2017-10-27,1960-10-01,541.063
539,2018-07-27,1960-10-01,540.197
540,1991-12-04,1961-01-01,515.1
541,1996-01-19,1961-01-01,528.1
543,1999-10-29,1961-01-01,528.9
544,2003-12-10,1961-01-01,527.9
545,2009-07-31,1961-01-01,528.0
546,2013-07-31,1961-01-01,545.9
547,2017-10-27,1961-01-01,545.9490000000001
548,2018-07-27,1961-01-01,545.018
549,1991-12-04,1961-04-01,525.9
550,1996-01-19,1961-04-01,538.9
552,1999-10-29,1961-04-01,539.9
553,2003-12-10,1961-04-01,539.0
554,2013-07-31,1961-04-01,557.4
555,2017-10-27,1961-04-01,557.43
556,2018-07-27,1961-04-01,555.545
557,1991-12-04,1961-07-01,536.6
558,1996-01-19,1961-07-01,549.6
560,1999-10-29,1961-07-01,550.3
561,2003-12-10,1961-07-01,549.4
562,2009-07-31,1961-07-01,549.5
563,2013-07-31,1961-07-01,568.2
564,2017-10-27,1961-07-01,568.2280000000001
565,2018-07-27,1961-07-01,567.664
566,1991-12-04,1961-10-01,549.5
567,1996-01-19,1961-10-01,562.6
569,1999-10-29,1961-10-01,563.4
570,2003-12-10,1961-10-01,562.5
571,2009-07-31,1961-10-01,562.6
572,2013-07-31,1961-10-01,581.6
573,2017-10-27,1961-10-01,581.624
574,2018-07-27,1961-10-01,580.612
575,1991-12-04,1962-01-01,561.9
576,1996-01-19,1962-01-01,575.3
578,1999-10-29,1962-01-01,576.8
579,2003-12-10,1962-01-01,576.0
580,2009-07-31,1962-01-01,576.1
